processed_text,class
bitch get lol nigga gay ima homies,1
bitch,1
trash thats ot,1
democrat law crow republican supported btw jim mlk,2
da yes gt woulda def rite spear chucker problemif histeacher dose,2
bitch coming dream support among illegals american spreading disease,0
bitch fucking see doesnt obama crooked judge appointed agenda,1
take trash hey dildo windy buzzzzz,1
bitch yea id said racist right gold africa flight digger blocking vote msnbc msm,1
new second cripple low add ruined picking,2
say lmao pedophile promoting dolt,1
faggot,1
bitch get say em stop lt whatd flower everytime here note,1
hoe lol money want car clothes successful,1
bitch show lana bullshit kane,1
bitch shit look imma forreal,1
hoe like dont yall know cuz acting remind,1
hoe much,1
rt bitch steal,1
man bitch look one good sum pick,1
like im dont he side faggot state,0
nigga pussy around spun,1
fag serious issue mental flaming mentallity,1
bitch fight,1
feel warm fuzzies,2
take trash place excuse kitchen according,2
trash meant lmaooo,2
hoe fuck shit told real yo bro king ca smoothie straw,1
man trash like thats yall beat calling yu forgot garbage janitor,2
bitch coulda looking store,1
tranny love know people dragon eh,2
nig today doin whatchu,1
got new nig ta text number wud,1
dick faggot tease,1
bitch dick called missing,1
fuck even wouldnt faggot outta fair,0
got pic nig lmaoo typical shouldve bomb nog,1
bitch please,1
use faggot word,1
bitch got fucked,1
always bitch lmao hatin,1
man hoe got im coming wife cuz keep song thought lovin picked,1
bitch stfu,1
rt much get pussy female could follower dope pay band state half youd fella,1
retard thought,1
bitch like hear said one dumb,1
bitch want,1
get could faggot glad daily giggle dose,1
faggot right hey spell dipshit,1
fuck shit shut fag outta ill beat,0
bitch shit fucking get nigga gay yeah matt,1
bitch im nigga meet school fake,1
shit cause ima niggah outta blindside,1
fuck bitch smd,1
bitch haha,1
fucking much id one faggot tweet dude insecure put wreck dumbass insult,0
bitch smoke fuckin cali smokin wbu,1
shut niglet,1
bitch shit cant faggot stfu follow sun,1
bitch read learn,1
bitch think,1
steal arent fake beany salty description,2
fuck bitch lol probably right spanish,1
always bitch look like smh want real twitter life ppl idk speak converse,1
bitch might lol dick want show shoot snap remembers recommend,1
bitch boom,1
hate cant bird fact fly piss,2
hoe like aint wait yo talking ill yu wen tweeting,1
dat bitch im tired mannn,1
as gon great gook fold pressure qbs gshit blitz peyton,1
always fuck bitch like lol dick come white zero something give op,1
bitch nigga white line whole choppin,1
bitch miss as ima every tho day pretty cool beat graham daniel smiley andrew,1
bad bitch say damn lmfao haha mean called,1
queer using song quit lyric,1
pussy as better yo janemba,1
bitch til thursday,1
time beat yankee twin kick notch daggone,2
thing season good,2
man dont score matter training spring,2
fell asleep,2
go already away,2
lol wont make isnt world saying kind series,2
probably twitter bed time put feed,2
suck team,2
ugh,2
pussy watch neva mi nuh lov mon badmon,1
hoe way boo,1
trash whatever neymar,2
hate faggot corny,0
hoe love school mexican high freshman mannn houston,1
trash game he know yeah people late showed limited portland,2
take bitch like way little order,1
home coon,2
bitch running tonight better watch table,1
hoe need em send around ride put song hey bang cd,1
back want lmfao pom,2
yellow born,2
get pussy make never know right may married dropped wet agree begging guaranteed,1
ya eat hahaha made crow,2
im pussy crazy song rap wayne row,1
bitch lol girrrrl crazzzzy,1
like got aint call da dead feelin truth ready,2
always bitch got feeling hurt yu almost nahh playn,1
fuck bitch da wit uh wat mouf fuckd,1
bitch like wood wish tree,1
bitch like wood wish tree,1
gay fag,0
bitch like tree asshat,1
bitch got gone past already demon herseeding fuse,1
fucc nicca yu,1
dat lol send really nicca clean talmbout,1
boy dat pussy as said yo tongue,1
lol cant bout aint talk da cuz nicca reason hurt yr played present,1
start need bird let play shoot williams mcbob,2
shit everybody different colored wore dot moboredmickey factz battled clip ancient hong kong hitops,1
pussy lip one put raw dog hole magnum lifestyle dickhead cumin,1
hoe went meter,1
hoe shit get as anything pay ill away premium,0
bitch,1
bitch im nigga as god swear every later score network social log posting,1
wont pussy nah,1
bitch fat sup,1
bitch like told dont female use ppl shrug cuz someone meh calles,1
bitch one sick,1
girl get little along find treasure die dy joe tom almost sawyer trapped cave injun,2
take bitch mom head recieve,1
ya as nicca fasho hurry,1
ever bitch girl love wouldnt wow really cheat dumb called slut,1
hoe thirsty,1
hoe got dont tho right white strip cold knoxville boaaa,1
fuck lot people called kike,1
hoe thirsty,1
pussy,1
lol cracker,1
like pussy would ashamed,1
fag head putting proof photoshop,1
fuck bitch told going nigga love tell talking white bro gtf,0
bitch shit like got ta month least drop interval,1
dat like im jus together niccas tryn dem figure,1
pussy finger flap throbbing,1
bitch shit get cut see lmaooo free tryna tha promoting,1
bitch eat,1
bitch meet eat,1
bitch meet as yo molly whoop,1
bitch shit nigga em eat couple talking naw month hand whats happened ago,1
hoe clear lake katy,1
bitch supposed though attract tutu,1
bitch get he na gon dem,1
fag,0
fuck bitch im coming never come drunk stfu text hey outside fail classic carter oops,1
fag,0
bitch,1
bitch im lol op indian,1
bitch going thing dont even youre wrong well least somthing,1
cry sit dick pussy faggot aw lmfao drake taste corner listen cock rider,0
fuck wit nicca cool,1
hoe go as sleep thirsty,1
trash bro zombie,2
bitch going happened fishing,1
lol pussy turn continues,1
hoe,1
bitch point ppint,1
bitch read died,1
bitch going wea,1
bitch talking lmfao,1
bitch yes messyyy,1
bitch nigga cant real long ask bruh hold pay mama fa ticket,1
ever fucking got im pussy wrong kiss bet nasty telling breaking held,1
trash goat skate dlc,2
bitch much im get want drive wouldnt home live campus ahh lazy,1
look like lol make picture fag serious,0
hoe lol love way right possible treat,1
amp hoe got lol love think way wrong right may someone,1
bitch as little doe punk yalls,1
bitch look like tf ahaha delivery,1
like got tired pussy eat damn way hearing,1
always lol cant eat oreo hit program tried ive figure stuffed mega altf,2
hoe fucking tho bae thts orr lor wyd,1
bitch look girl new said kill cousin bye wht ampamp era lls kindness,1
video want said use dumb track gon retarded mix dj regardless reg versi,1
dat got black aint voice nobody time ghetto lady fo,1
thats season loss regular,1
hoe fuck lol,1
bitch swag aha,1
cant old drive faggot drunk people,0
fuck shit like lol dont as damn give redneck campus acting brett farve stuckup,0
trash lol nigga make youll team,0
bitch im even bro sure hurt ignoring tonightlol,1
bitch future wife kno song referred ion,1
bitch love alex target,1
look like somebody lol bird first die tube flappy,2
ya back queer bag,1
hoe got know ta find cali,1
boy hoe type right lmaooo thought spelling,1
bird as gone run,1
monkey come stupid sad try howard accurate dwight comparison tracy morgan,2
fuck im niggah yo lil bro,1
niggah,1
im aint good supposed colored influence,1
bitch,1
bitch thats theeepp,1
trash st shes good actually omg song derrrrrrr compared showman,2
hoe,1
fuck im nigga pussy na oh stfu gon ad,1
hoe bitch shit nigga bout as one talking stfu steady,1
bitch thats would said stop something mouth word putting,1
boy bitch like got tell dont as bring yo stop alex acting beef duck,1
like fucking even ok hell cop teabaggers nut gun rightwing harris,1
nigger,1
bitch miss,1
bitch say youre evil jenny,1
fag,0
bitch said cute lil kinda figured bit,1
bitch oh mention last dying exit huge golden album cont era tour globe,1
bitch want as thick tv,1
amp like im pussy need as lame baby lil bro name called grandma date turnt dork,1
rt bitch realest,1
boy got nigga dont pussy send da na box drum fo mile droided dro droid yeer,1
dat bitch get steak loredo ballin,1
bitch shit got big back nigga think yo stop worm made two feelin dem hatin smokin coolio,1
pussy,1
hoe bitch yu erbody,1
lol go niggah sleep,1
lol pussy chill,1
lol faggot long missed story ive,1
hoe start hear swear lmao every text using via extra letter sensitive tone punctuation,1
like dont faggot problem seem zak,0
brownie save,2
hoe tell dont dumb,1
bitch crazy absolutely speechlessthat,1
dat bitch im lol real lmao really throw cuz saw fa circle,1
bitch im want gretchen weiners,1
fag wyd,1
bitch,1
he faggot,0
nigger hello,1
true thats even dumb nigger idk whore attention convo,0
bitch as nasty ratchet away clean chicken smell ear boi mile fried,1
lmao stupid nigger,0
hoe im finna hit yuhh,1
pussy time many listen song today,1
hoe shit,1
shit get bird call didnt must sent,1
fuck bitch hell right naw serf,0
bitch like im really looking thou hulk hogan,1
bitch im met said ur nah getting dude oh heartless,1
bitch know mean spell nut champ,1
yea faggot talkin forgot degenerate,0
fag little bag date daughter,1
hoe cant cook,1
bitch stop suit hating immaculate,1
bitch birthday little day already passed enjoy blessed hath fanfare,1
bitch real,1
bitch ima better let right slide standby,1
pussy,1
take bitch like aint beating good tamu jumped sc,1
bitch lol said bro,1
faggot,0
bitch need,1
pussy ik,1
bitch still never edge care laid okaaaaay,1
youre faggot,0
im lol negro askin,1
bitch cry im dont bunch pissed cop bullshit trying hole charge,1
fag lt hey,0
pussy,1
bitch another get go cant even want know one lost tho lmfaoooo share pas yooo elevator,1
bitch like get use ppl let stair struggle,1
man bitch like got dont say na damn gon thang unfollow,0
boy still get one ask tryna block jason keiffer,1
pussy eat sorry,1
fuck bitch get money,1
man trash said guy music think know wasnt pop lie beast samklef naija wizkid,2
bitch got would done jk,1
house fucking im full nigger help nope stuck escape,0
dat got ur ta around keep nigger away filthy scent,1
bitch go know could drink bleach,1
hoe like nigga cant wait haha summer jk coco fuckkk hunna,1
rt hoe bitch like red eye haha straight high job went interview wey stanking dank,1
bitch like dont talk bro,1
boy still got lol bird cage,2
hoe send,1
hoe lol taking,1
shut nigger,0
lol whatever fag,1
pussy could ate,1
bad bitch love feel saw mf switzerland,1
hoe,1
bitch meant scum,1
boy bitch,1
bitch dick,1
bitch,1
nice faggot hoodie,1
bitch stop making pit report rape status canada,0
hoe liked,1
hoe like,1
bitch get dont two,1
hoe ya hit haha yolo,1
man bitch bout as bring yo dam give attitude ion mf,1
bitch sit as better yo til,1
black si yellow bean pork chop rice,2
scanger,2
amp boy ur monkey fuckin white ol good dog spread filth ltao,1
shit like dont know lost nigger alone something leave learn besides puppy,1
shit miss dont want real one let nigger catch dog thot dingy torah,1
bitch get first job,1
bitch shit looking,1
bitch,1
boy bitch clean,1
tweet funny nigger ashy,1
bitch im mad slapping,1
always bitch nigga dick pussy make use many nasty great valuable protection,1
place bitch nigga didnt first desrve,1
bitch love make em voice yes southern masturbate accent,1
bitch shit like money aint life weed passed studied,1
trash fuck ik wanted dorsey,1
pussy,1
fuck bitch let foam hawt glow,1
black new baby kill cracker panther rescue woohoo,0
nigger,0
fuck bitch wtf hurt imnot danielle,1
bitch get lol tf punched,1
bitch got fuckked,1
take dat bitch shit imediatly,1
bitch shit watch talkin family forcin,1
always bitch like got go suck didnt think lil friday action ik thursday fuckked whamm,1
boy dat bitch got suck pussy as wan na eat yo major street center nun illiterate correction,1
fuck bitch go suck naw cartier,1
bitch im even damn ok phone dying tierd,1
rt hoe go haha hard,1
bitch purple beat short aqua,1
bad bitch happy birthday,1
hoe shit dont even know use update righttt status knowww,1
hate im as cunt fake elissa,1
shut fag oh mouth morning talkin,0
fucking thats tonight retarded drinking,1
pussy as whooped turnin,1
bitch haha team,1
fuck tranny fun mile fails raptor,1
guy come sole lucky whose sperm qualification cm,2
bitch wrong word unless awesome,1
amp boy bitch im as make mom right actually dad watching dorky streit,1
love would bird top team snow houston five ahl attendance aeros transplanted,2
man fuck bitch,1
bitch okay right,1
bitch im little cuz feeling emotion,1
get back go suck want life either pig muzzie arse biotch phuck hellhole,1
bitch like better chill oh hey maria,1
bitch shit lmao wish beat ass socially acceptable,1
bitch going nothing law alaska,1
big well ho obispo,2
hoe mane know th already ive since grade killin,1
true much money never happen sad butt redneck republican oil,1
like better used time pal mock next teabagger three nope term luck scum,1
bad go brownie next air wheres,2
bitch lol probably deserved,1
bitch like high vagina quit jr fellow anarchist,1
man pussy weak theyre syndrome usually deep small huge ego join authority compensate,1
pussy,1
hoe thats laughing,1
check loco corner across el pollo cashing cajon calwood steer,2
trash white dude wish naw theyre,0
faggot wat,1
pussy run,1
like got as thought lookin zebra sheebasheeba,1
ya damn right nigglet,1
leave dyke,0
sit pussy youre as stfu noise,1
hoe death attention,1
tip bird ugly ill behind give hide beware massive lensed sunnies,2
bitch like wow year late,1
pussy,1
fag yo rojas,1
bitch thats would na talking gon something sitting,1
bitch,1
bitch shit like gave school week idk went telling class paid ago paper,1
bitch got thats lol pic tho booty sending wassup,1
bitch make yo open leg,1
back dont fag ok tweet text,1
trash could brought season play someone qbs veteran,2
head retarded dropped literally,1
im thats say youre retarded account draft pick telling delete waste manziel mallet,0
back fag,1
probably yeah wear yellow handle put account personality suit though point,2
bitch wasnt fuckin dude hung,1
fuck bitch like dick nose cop shaped horse tarah elongated,1
bitch cry still im lol cant wont even talk though shady supposedly confront,1
faggot,0
look like cute give dyke clothes,0
eyed chink,0
bitch cant wait day try til trueee,1
like he na sound ghetto gon cash credit apparently prenup magine,1
fuck bitch pussy keep laughing instead christian,1
woman amp much as dead tried cracker beat zimmerman creepy weaker,1
say didnt read tweet funny retard anyway hi liberal delete anand salwar,1
trash im america sick self bo serving standing politician,2
bitch like going im voice yes sorry majority ignore grant libtards,1
fuck still im nigga pussy as twitter act na haha gon smack hard trying,1
bitch fucking game wouldnt reason give fire ahve catalog arcade,1
get pussy aint yall gon stitch,1
bitch yea lmao oh mr aka alo,1
boy ya lol pussy need sum beacg bod ab,1
get twitter fag,1
bitch ugly white,1
go baby agree parent country anchor naturalized citizenship amnesty origin,2
hoe got fighting bring ta bro keep trying thea,1
bitch wish may vet conservative disabled luck feminist jump ballless dickwad capital,0
bitch get dick tip thanks okay anyway ill,1
fuck dont think tweet give teabagger worthless flying scum,1
lil yellow bone mutual,2
thats yellow bone youz,2
bitch say aint call know yo ugly cuz brother af mama playing witchu,1
hoe fuck smh iont understand,1
amp take fuck cant pussy em think funny liberal joke daughter sarah palin,1
angry make alone teabagger worth absolutely agree statement amusing scumbags,1
hoe youre tonight na gon tomorrow,1
bitch,1
queer happy birthday,0
colored contact,2
hoe im mad calling shutcho lmaoooo uglass,1
bitch sick,1
trash im ur since baes,2
bitch get suck dick life hit bus someone alright hope deletes,1
trash like everyone go dont check nah called else believe literally replied,2
as gay queer come lot well oh nation tv nigger redskin welcome drafted,0
pat kike owner,0
like pill yall gay nig year first team last draft died ago magic hav,0
hoe,1
bitch yea let check stay spell topic,1
lol black bring better well past cracker um folk worked hasnt,1
hoe nigga suck funny brother number wayans jamie foxx,0
negro el,2
girl go id make fag know way yeah scared hit beat enough block tough,1
bitch fucking faggot queer,0
bitch thats said wtf chris mf christopher,1
bird pig,2
pussy beat,1
bitch go sleep,1
bitch lmao wish,1
cat brownie ate wee seeing random,2
bitch hate dont know lmao master kitty,1
say make better let brownie hellen keller,2
bad bitch salute,1
bitch without wtf seen,1
bitch cum thru,1
fuck bitch,1
fuck bitch,1
everyone know let whole justin wanted album downloaded acoustic bieber,1
pussy good whats,1
bitch lying,1
niggah,1
niggah text plan ununnnn,1
bitch yassss,1
amp lol as niggah yo smart well stfu mouth deserved spitted sprite,1
boy pussy need damn,1
still fucking retard bush blaming,1
ya go eat wetback,0
thats lil nig,1
shit love youre know sack lying,1
lol fag,1
bitch like cut ur pal neck pearl threat daniel apostate kufargti cld wsword islam ampwatch squeal,0
youre didnt know work come keep good reason sole babe chipotle incase,2
cowboy killer,2
trash,2
bitch nigga nah clowney,1
hoe lol actual crew,1
dat bitch shit im get da yo art crib famous buyin,1
bitch god stop stfu quit bein tellin kenna robby,1
bitch dont,1
faggot original,1
bitch dont reply,1
bitch guy yes every todaylolsmh,1
girl na one day find gon redneck,1
faggot,1
like id talk nobody day charlie knew today absolutely pirate morton impersonation,2
trash thats money call white,0
still fag ud lolz,0
fag ur,0
fuck hate gay successful babel masturbated,1
always red yellow put print ginger leopard,1
hoe cause love cant ur stop finally laughing omg losing patience,1
picture posted phone made brownie either hurry steak drool,2
woman thats pussy white,1
nig thought nog positive,1
lmao faggot let type try dog decipher,1
trash oh enjoy state sport trailer sub par,2
bitch please little time entire depressed,1
hoe look good,1
hoe seen havent,1
hoe bitch yea hitting everything shot tj handling dunking tk juelz,1
hoe rule gemini,1
wont case lead charge republican atf prosecuting confirm director agency,1
hi since hoser,2
bird shes hope larger,2
bitch dont kill vibe,1
baby yeah cum slit cake itch,1
fucking youre nigger,0
bitch lol head charge hbic,1
like new twitter one show avi retarded hat profile cub stalk,0
bitch youre ihy,1
sound cooky wonderful,2
bitch love never may ill follow quit bill,1
change racist long name al illegal memorabilia wredskins deemed therby,2
get lol use throw yellow soda stain bleach baking hydrogen peroxide paste washer,2
boy bitch im coming,1
little dream leprechaun hemroid,1
trash mean,2
bitch naked,1
man want white run jew country overrun mongrel zog perish,0
bird win epic lmaooooo,2
amp bitch still started open fly run since zoom portugal whoopass,1
faggot wow,1
hoe bitch shit go as nah molly time stfu sum tht lean thot fasho happend fuc addicted spazzin scarce spazz,1
bitch day remember since tha lmfaoo alabama,1
bitch im bout lmfao kno talkin,1
bitch round bullet ima know yo haha draw webb fuggin forehead reside,0
said fag nah,0
bitch smokin,1
bitch yea tho cuh pimpin cuhz fuc donald sterling,1
hoe dm number,1
bitch worked,1
need check really charlie help mental,2
bitch son many water deep badass danny,1
take ever bitch as clown na lil nobody serious gon,1
shit like dont say lil nig ill give stamp,1
still black one monkey tie silver newest dye board edition,2
bitch im lol bout aint talkin jungle fever,1
bitch get nigga dont hurt,1
bitch crib niqqa ampamp slide snow ayee,1
bitch got snowboarding,1
bitch look better chill ahah,1
bitch sorry dyslexia,1
trash oh phone knew,2
bitch,1
send god hell retard doesnt,1
pussy,1
bitch drunk,1
took ny yellow actually yesterday lt price uber advertised taxi,2
bitch bout time,1
bitch im old as ur baby little proud matter hang southern,1
im wexican,2
hoe im dont blame innocent,1
music lil spook suggestion,2
bitch like clown yo stay lookin,1
bitch got ta people something,1
shit wont pussy yall stfu,1
hoe thirsty,1
nigga know damn well coon,0
dyke ron,1
bitch like running took dude,1
shit big youre twitter ok nig time face name talker info,1
make explains tea watermelon imma heard green lose coon weight,2
bitch as facetime doms,1
trash would said make gone smfh thought sense wouldve khan bumcia,2
trash im talking player guessing,2
fuck yes triple nigguh xp,1
im broke nig sure,1
youre around workout redneck rock welcome lake laying join,2
cause youre damn forget already bunny border,1
might going im done isnt give cunt family visit havti,1
aint he lmao cousin retarded,1
lol youre faggot cool spelled,0
fuck bitch nigga say shut follow,1
fuck bitch still fucking see dont son as wan na ugly talking girlfriend give,1
fuck bitch nigga wan na talking stfu something,1
thats cute fuzzy onehehehe,2
wear size sole cherry charcoal preowned scuff,2
trash,2
yea queer texted bait,1
bumblebee,2
youre line yellow standing btw,2
bitch get school chill dad griff,1
pussy,1
pussy size small plug,1
bottle monkey poor,2
guy fag,0
bitch cause everyone yea love as yo sure rite,1
fuck yankee,1
bitch thats jus as turn spot clutch,1
bitch like im thats jus em one lost bro oh yesterday saw omg court yessssssss disbelief rode,1
girl black cant dick talk funny retard fan die riding hard disgust pathetic literate rofl,1
hoe please ugly weave bye nasty something hair horse,1
real serious bunch cunt ct whiney,1
bitch cause thing kill getting road showed turned police forcethey preventing,1
black probably white world person idea poor crystal interested hillbillyjamaicapoor hillbillywv,2
hoe like bout sound smack,1
bitch going get nigga car weed proud,1
,1
drive retard illegally,1
hoe im sister subtweeting,1
bitch bird ur cuz,1
fuck bitch as yo,1
music nigger,0
bitch go youre life first well class,1
bitch ok stupid,1
trash racist came remember texas election republican stole gwbush wh numb,2
rt trash there he racist show tx obama supported poll comparison pres gwbush betwn,2
another please stop charlie ole fart,2
ever im big get thing dont old say jus ur ugly mom charlie lady hug childrens,2
lol wont ill chug tall homegirl approve,2
hoe good,1
bitch im chicken nugget waitin,1
trash lol would cute kept,2
bitch like lip tried bottom bit snack,1
man trash bitch look like fucking white bear lookin queen park pig trailer,0
bad like nigger former psyqo anime,1
bitch love wigg,1
see race zebra camel ostrich,2
pussy,1
get love want gook awesome,2
bitch cry like id make yeah mean agree amusing,1
bitch girl fat around left gettin passed agree,1
bitch nigga talk na one day gon low tryna realize,1
bitch nigga running took dude,1
got im haha yellow time card shocked barca,2
amp true bird little sweet saying song walking pure singing pitch doorstep melody,2
like lol said ghetto hov,1
hoe lol nigga dead dem duggy,1
hoe get orange,1
negro hmu,2
look love cute yellow face hair raincoat contrast thatampher icon,2
pussy talk bruh,1
ho,2
bitch,1
hoe slap ill,1
rule blame america doubt today whitey thumb,0
bitch peep,1
let yellow guess different cake president crap,2
bitch everything,1
bitch,1
smh faggot throw word,0
pussy ur dude face tool especially film posting vid pacing,1
bitch,1
shit ya thats go see need as never ape tryna,1
yeah song great watching yankee stadium concert msg gig,2
like thats wan na faggot dude wld,1
fucked lmao made nip heart thought shaped birth defect,1
drug rule right retarded nfl strike policy josh gordon,1
trash as bet petty self,1
bitch back bet pay,1
bitch wonder passed yasss penny,1
bitch im tired,1
youre racist white people whigger antiracist codeword antiwhite antizionist antisemite,0
bitch lol cute yo tho imma natural wassup lmfaoo gimmi numba,1
im game tear tonight he shirt looking behind plate buy az redampyellow balkamania,2
bitch fucking hold,1
pussy hell page print,1
bitch still tho talking bet oh none biz,1
bitch like voice dmx wantttt,1
fuck bitch shit back nigga,1
bitch shit shut na feel gon free join,1
bitch shit nigga even need as never bring yo stop making beat weve fought,1
fuck bitch like fighting nigga school wow people high unfollow,1
bitch aint school come,1
boy ya nigga know forget home blah cracker hey sup,1
ever bird story havent heard bee,2
bad bitch dread alert,1
bitch face sure follow fabulous,1
hoe like girl cant want act show hold boyfriend,1
amp maybe time charlie team next mama nurse baylee ann tater pud fester chainsaw rot punishermaxd,2
thank slit pee based,2
ya go pussy let wheelin,1
shit aint one niggah serious laughing,1
fuck pussy guy he right,1
lol game angry bird never took long cc scared obsessed,2
trash idk though,2
tell door track home tree window away cab far coon parked tractor,2
fuck dont pussy know let nobody hit either firm,1
like id say given pizza slant roof rickety shanty,2
bitch cut yes ha color self curl,1
woman thing say could hold cracker two peanut butter table functioning chest,2
look much girl wont make let fat around redneck trip knee wander pornwalmart,1
bitch,1
bitch shit youre body twitter female dumb people plus speak letting sloppy ignorant,1
fuck growing aw theyre idk retarded fall hope insult scene general csgo,1
going smh retard full right,1
like need act shes wasnt special also something cunt unprovoked,1
hoe,1
school haha weird ghetto local,2
dont pussy swear beer also free pizza,1
fucking retarded,1
fag ur,1
pussy via rachel science error spelling donaire,2
someone forgot niglet,1
fuck faggot,0
fucking fat choke death cunt hope honestly irish pool jameson induced vomit,1
hoe love dont,1
dont fam ily stick nigguh awe disrespect pouch,1
see jig,2
take trash separate recyclables,2
yes retard,0
get need really past whole ape slow accident mentality scene humanity stare,2
bad bitch word intimidate,1
lol pussy da right phone doin,1
get pussy guy he lmao left mark,1
fag yes could leave,1
aw hahahaha try cunt nut capture,1
shouldnt get even fag fuckin haha many allowed wallet influence whilst,0
pussy want cat mean nd dini,1
pussy cat hay,1
cant pussy fight,1
trash love dont talk shake head,2
like little twat emily,1
bitch cancel new call theyll one lost dumb fuckin ticket venue reprint,1
bitch pussy money drug weed buddy,1
need faggot grow,0
pussy grow pair,1
bitch as ol rachet,1
back faggot good job texting,0
bad bitch cause im problem part rap,1
im well retarded sure fully,1
dat true nig,1
youre coon reading,0
amp still mind people nigger follower truth outlook,0
bitch youre night weak last face listen hand fell cruel singer,1
amp shit fucking got nigga pussy kid went swore snitch joel ratted,1
fag thanks text ignoring,0
thats retard dragon,1
trash youre realize,1
hoe shit im fucc weekend seeing extra,1
amp got probably right ghetto kenwood,1
ghetto fool,2
hoe got toolbox,1
like got everyone ta chug twin,2
bad bitch okay dex,1
bitch david block,1
like back bird year sound regular flu lower rate hysteria mortality,2
bitch every claim,1
fuck bitch dont say fuckin lie give hairy,1
say bird guy better goddamn trying yoburger,1
done wait racist monkey show sound alright amateur grease,1
much doesnt head hope fuzzy tickle,2
say one car special charlie brown word tire xmas disparaging slash,1
yo tv dis colored mo add wondering espect station befo renew,2
dont aint da know ok guess colored channel,1
dat da wit bet colored listen else missing gots msnbc reverend,0
lol dont pussy show good ill turbo,1
bitch shit lol know good double handle stick soo aha hp shifting,1
bitch lol meet,1
bad im nigga make couldnt text ghetto phone charger er ripped ipod,1
bitch shit lmao yeah lil ripped,1
suck dick better taco negro el,0
bitch yeah good taste fucker,1
fuck bitch,1
ho snag,1
got taste instead kinda pig interesting screwed guinea experimenting result,2
hoe slut bucket especially dan,1
trash never stuff easy neighbor super actual nope taken wifi can info acct,2
one yeah team sell yankee player la current bosox,2
dont one kid queer,0
bitch thought,1
take bitch nothing aint bet lick fall,1
hoe wont as one come show tho day outside uninvited,1
one mad stack catch lunch close nigguh almost,1
boy bitch da wit club rockin connor,1
suck nigguh,1
pussy,1
bitch im tired stop seeing tl retweeting heather,1
bitch go sleep,1
cry shit like youre monkey show time everywhere negro coon disgust disgrace minstrel,0
bitch lmao truth,1
back kid brought brownie sold cooked,2
aint done yall da work day throw colored folk half mail hire sewer,0
always get pussy money friend good best guess weed sorry,1
pussy,1
bitch,1
dick would ur sol good feel load hv cushion,1
bitch love,1
bitch as sleep dea,1
ghettoblack,2
trash jordan,2
trash im get dont say think saying theyre team everytime pro gb tourney schmanged fanboying,2
trash would ur team star pro snd scrape,2
trash dont wan second first give listen mistake kinda wu hearing third thokinda,2
hoe shit girl bout growing wanting month,1
nip,2
bitch see idea muslim attack math,1
beaner cool,2
got lol beaner keep home cool away ready couch floating,2
bitch like im actin celebrity,1
bitch wow oh bitching,1
dont would know getting week perfect yank lee feelwaitno,2
get game quick sox home soon yankshope,2
like bout sorry yank earlwho uya,2
would know win yankee earlwe,2
bitch going there friend hell best caring punch busy raging,1
nice drive car little lot saying ghetto pay driving rent lexus,2
trash im shirt room mess leaving,2
hoe send ur pic dnt mi wuw wun uv,1
pussy would son strap pretend teaching lace jock,0
get need aka blocked jigaboo homewreckers,0
monkey ppl yeah waiting keep team sorry pizza kicking muh,2
negro toma eso,2
negro dan pinche panamonos asco,2
nig three whats difference nog,1
amp one care dirty nigger shitty tbh feather argentino fisted,0
hoe thank happy birthday mint mothafuggin,1
im assuming bubble mickey,2
like sound used time lived gypos,2
youre cheating bubble mickey,2
ghetto rhyming,1
gook,2
wasp egg,2
like real sound cunt,1
dayum un saterlyt shoz bayg houl,2
hoe sprite,1
monkey clever,2
bitch ya dumb move haha mostly,1
trash mr,2
look like real dyke,1
bitch said seen titty attention paying resting youd firstly secondly rolled,1
fuck dont as school know lmao dude fight ghetto doubt give since highly,1
bitch get cant easily rid,1
hate yankee playa dodger bu payroll,2
fuck go baseball watch actually yankee mets jon stewart,1
like hate im really right good feel though yankee hating,0
hate cowboy yankee,2
hate cause get black dont hey whitey honest involved situation,2
bitch never nobody party lesbian invite,1
bitch broke as know imma,1
bitch say please trying philly closer,1
pussy,1
bitch youre,1
pussy stop blowing spur,1
bitch cry must kid little anything wear many america someone ie whiney bicycle helmet,1
bitch living,1
pussy,1
boy bitch come wife ill rape,1
bitch,1
bitch cause see as wan na didnt,1
bitch money make one,1
get fact record keep straight made hey collect law felony,2
good pay study teabaggers bill republican government per discredited factual moocher,2
faggot many gotten return lmfaooo,1
yankee huge fanenjoy,2
go bird away feather,2
hoe thanks,1
pussy ur really good mouth doctor stress recommend reliever,1
dont pussy need make think feel mouth massage less stressed,1
bitch whatever want as fucker childish since arent mother lying,1
like suck fag yeah oh nevermind,0
got sole youve,2
fag faggot mean ill cigarette stick bundle homo uk,0
bitch shit youre started well move calling admit,1
bitch,1
bitch sexy davis google search match ann result image,1
im said movie fag seen vagina hasnt,1
man even pussy make he anyway dude nation become giant president whiny dripping iraq,1
bitch still little nevermind,1
bitch might need pummel,1
back yo follow nigguh,1
look think cute one hella already nip itll vertical barsi horizontal,2
also put touch mix nedchuck,2
pussy,1
hoe look like still ugly muffie arthur,1
man white hillbilly pres belief fran virginia mountain anglosaxon,2
fuck pussy frank,1
tweet aid jihadi put screen shot saw account actual worker scanning spy,2
shut one faggot care,1
bitch shit got talk da god right swerve damnit shittt,1
nigguh wheres,1
call jail well ghetto reason went nunchucksthe,1
fuck bitch told lmao si world lyin whole light today ca bulb wide,1
fuck spear chucker,0
bitch lmao slap dumb,1
